6.8559 	EXP 	New trial (rep=0, index=2): <Trial 2 (2 in rep 0) data={'word': 'RED', 'colour': 'blue', 'stim_condition': 'I', 'correct_res': 'b', 'thisN': 2, 'thisTrialN': 2, 'thisRepN': 0}>
6.8708 	EXP 	fixation: autoDraw = False
6.8708 	EXP 	text_3: autoDraw = False
6.8708 	EXP 	text_3: foreColor = <psychopy.colors.Color: blue, alpha=1.0>
6.8708 	EXP 	text_3: text = 'RED'
6.8708 	EXP 	fixation: autoDraw = True
6.9747 	DATA 	Keypress: space
7.2405 	DATA 	Keypress: space
7.3545 	INFO 	Keyboard events cleared
7.3539 	EXP 	fixation: autoDraw = False
7.3539 	EXP 	text_3: autoDraw = True
7.4716 	EXP 	Device response: <KeyPress from None: t=7.470962999999756, value=space, duration=None>
7.4739 	DATA 	Keypress: space
7.5899 	EXP 	Device response: <KeyPress from None: t=7.470962999999756, value=space, duration=0.11327180001535453>
7.7217 	EXP 	Device response: <KeyPress from None: t=7.712649599998258, value=r, duration=None>
7.7223 	EXP 	New trial (rep=0, index=3): <Trial 3 (3 in rep 0) data={'word': 'BLUE', 'colour': 'red', 'stim_condition': 'I', 'correct_res': 'r', 'thisN': 3, 'thisTrialN': 3, 'thisRepN': 0}>
7.7287 	DATA 	Keypress: r
7.7366 	EXP 	fixation: autoDraw = False
7.7366 	EXP 	text_3: autoDraw = False
7.7366 	EXP 	text_3: foreColor = <psychopy.colors.Color: red, alpha=1.0>
7.7366 	EXP 	text_3: height = np.float64(0.05)
7.7366 	EXP 	text_3: height = np.float64(0.05)
7.7366 	EXP 	text_3: height = np.float64(0.05)
7.7366 	EXP 	text_3: text = 'BLUE'
7.7366 	EXP 	fixation: autoDraw = True
7.7902 	DATA 	Keypress: space
8.2379 	INFO 	Keyboard events cleared
8.2374 	EXP 	fixation: autoDraw = False
8.2374 	EXP 	text_3: autoDraw = True
9.3704 	EXP 	Device response: <KeyPress from None: t=9.356941000005463, value=r, duration=None>
